id,url,title,author,description,image,host,time_added,source,itunes_id,itunes_owner_name,generator,language,problematic
"7924307","https://anchor.fm/s/10281e8ec/podcast/rss","","","","","anchor.fm","1782215675","search","","","","",""
"7924306","https://rss.buzzsprout.com/2620611.rss","Mortgage Matters","Steve","","","buzzsprout.com","1782215497","podping","","Steve","Buzzsprout (https://www.buzzsprout.com)","en-us",""
"7924305","https://rss.buzzsprout.com/2620612.rss","Keller Williams Connect; Inside Keller Williams Realty Bronx","Steve","","","buzzsprout.com","1782215482","podping","","Steve","Buzzsprout (https://www.buzzsprout.com)","en-us",""
"7924304","https://www.spreaker.com/show/7125096/episodes/feed","Varun Engineering","Varun Engineering","","https://d3wo5wojvuv7l.cloudfront.net/images.spreaker.com/nuvolari-assets/black_square_mic.jpg","spreaker.com","1782215444","podping","","Varun Engineering","","en",""
"7924303","https://business-auf-deine-art.podigee.io/feed/mp3","Business auf DEINE Art","Silvia Ladner","Du spürst es schon länger: Da ist mehr in dir. Eine Idee, eine Expertise, eine Sehnsucht nach etwas Eigenem. Du hast dich umgeschaut, Kurse gemacht, Strategien probiert und kommst trotzdem nicht dahin wo du spürst, dass es wirklich deins ist. Der Grund dafür hat meist weniger mit Wissen oder Disziplin zu tun, sondern damit, dass der Weg noch nicht wirklich deiner war. Du bist keine naive Träumerin. Du bist eine Macherin, die den richtigen Weg noch nicht gefunden hat. Genau dafür ist dieser Podcast. Willkommen bei Business auf deine Art — dem Podcast für Frauen, die bereit sind daraus ein Business zu machen, das wirklich nach ihnen klingt. Klar positioniert, authentisch geführt, finanziell stabil. Hier sprechen wir über: •	Wie du erkennst welches Business wirklich deins ist •	Positionierung und Marketing, das zu dir passt — nicht zu einer Schablone •	Warum Timing im Business entscheidend ist — und wie du es für dich nutzt •	Business-Klarheit durch deinen inneren Code •	KI richtig eingesetzt — als Hebel wenn du weißt was du aufbauen willst •	Finanzielle Stabilität auf deine Art Ich bin Silvia Ladner. Mit 42 habe ich selbst alles neu aufgebaut — und weiß genau wie sich dieser Punkt anfühlt. Heute verbinde ich 28 Jahre Erfahrung in Marketing und Business-Entwicklung und die Begleitung von über 700 Menschen mit meiner Inner Genius Code™ Methode: jahrtausendealtes Wissen über Persönlichkeit und Energie, übersetzt in handfeste Strategie. Kein Nachmachen, sondern ein Business, das wirklich nach dir klingt. Neue Folgen erscheinen wöchentlich.","https://images.podigee-cdn.net/0x,sXdlHMI_oz2WI3PCaHfS-O5PPhQk8NJspMAupko5syrY=/https://main.podigee-cdn.net/uploads/u89115/9e5442a6-efd9-4e64-a557-8983d6fbc5f8.jpg","podigee.io","1782215278","podping","","Silvia Ladner","Podigee (https://podigee.com)","de",""
"7924302","https://feeds.ivoox.com/feed_fg_f13187958_filtro_1.xml","II Fiote da Lingua","A Cafetería","Este Fiote da lingua do CPI Viaño Pequeno é o segundo celebrado no centro, mais o primeiro que aparece neste podcast. Foi gravado en directo o venres 15 de maio e recolle as actuacións de todo o alumnado, ademais da locución baseada no libro Begoñísima (2026), de Andrea Nunes Briones, feita polas rapazas de 3º ESO A: Iria, Lucía e Laura","https://static-1.ivoox.com/canales/e/3/4/f/e34fe6a38811cd3e312cb6b11a5a9f11_XXL.jpg","ivoox.com","1782215237","search","1896942693","A Cafetería","iVoox","gl",""
"7924301","https://app.kajabi.com/podcasts/2148100348/feed?auth_token=FpG2HBFLJ9GJ3otFvsCg","Momentum Unfiltered","Tracee Swank and Leon Miles","Momentum Unfiltered is the podcast for church leaders who want to face reality with courage, rediscover mission, and find practical next steps for the future. Listen to honest conversations about leadership, discipleship, mission, innovation, and what it takes for churches to stay focused on mission in a changing world.","https://kajabi-storefronts-production.kajabi-cdn.com/kajabi-storefronts-production/file-uploads/sites/2148734211/images/0e0e17-a722-3f3e-0086-6fe7c0c21ae2_Unfiltered_podcast_logo.jpg","kajabi.com","1782215150","search","1896940196","Tracee Swank and Leon Miles","","en",""
"7924300","https://anchor.fm/s/1134aca18/podcast/rss","Connection Issues","Jacky Minkler, Louis Barry","Connection Issues explores the gap between what shapes connection and how we experience it. Hosted by Jacky Minkler and Louis Barry, the show examines the cultural, technological, emotional, and personal forces influencing how we find belonging in modern life. Some episodes explore the systems around us. Others dive into the unseen experiences we carry within us. Together, we're asking why connection feels harder now, and what it takes to rebuild it.","https://d3t3ozftmdmh3i.cloudfront.net/staging/podcast_uploaded_nologo/46086358/46086358-1780435662247-f19daa3118f24.jpg","anchor.fm","1782215135","search","1896935224","Jacky Minkler, Louis Barry","Anchor Podcasts","en",""
"7924299","https://www.spreaker.com/show/7124861/episodes/feed","The Executive Exchange","Marthinusbaloyi","A podcast featuring in-depth discussions with business leaders, covering strategy, decision-making, leadership development, and the evolving business landscape.<br /><br /><br /><br /><br /><br />","https://d3wo5wojvuv7l.cloudfront.net/images.spreaker.com/nuvolari-assets/yellow_square_mic.jpg","spreaker.com","1782215120","podping","","Marthinusbaloyi","","en",""
"7924298","https://www.podserve.fm/series/rss/14517/gloss-shield-drive-the-oc-tint-solutions-car-care-podcast.rss","Gloss, Shield & Drive: The OC Tint Solutions Car Care Podcast","ethan cole","Gloss, Shield & Drive is a customer-friendly automotive care podcast created around the OC Tint Solutions ceramic coating service. The series explores how modern ceramic coating helps protect paint with long-lasting layering, a high-gloss finish, and benefits such as hydrophobic performance, UV resistance, chemical resistance, corrosion resistance, and scratch defense. OC Tint Solutions highlights both 3-year and 5-year warranty options, including 3M Ceramic Coating Packages and Ceramic Pro 9H protection, making the service a strong fit for drivers who want practical, professional paint protection. To see the full service details while listening, click here. OC Tint Solutions also serves customers from Anaheim and Costa Mesa.","https://media.podserve.fm/media/user_21558/logos/Untitled_design_27_m2Ac7DV.jpg","podserve.fm","1782215098","podping","","ethan cole","","en-us",""
